"id","type","oms","kleur","fiets_soort_id","cat_code","cat_oms","soort","trefwoord"
"PL0100_BVH_2013004483","SILVERACE","KOGA MIYATA","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004524",NA,"GAZELLE","GOUDKLEURIG",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013004579","CORT FIETS TOUR","CORTINA","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013004963","WILDTAIL","BULLS","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","ATB"
"PL0100_BVH_2013005090","MEDEO","GAZELLE","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005094",NA,"GAZELLE","GROEN",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005098","ECLIPSE LIMITED","GAZELLE","GRIJS","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005098","ECLIPSE LIMITED","GAZELLE","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005114","PARIS PLUS","GAZELLE","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005117","ESPRIT","GAZELLE","ROOD","SERIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005132",NA,"BATAVUS","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005132",NA,"BATAVUS","BLAUW","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005135","OMAFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013005142","CHAMONIX ARTMAP","GAZELLE","ONBEKEND","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005142","CHAMONIX ARTMAP","GAZELLE","ONBEKEND","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005152","MAMBO-7","BATAVUS","WIT","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005152","MAMBO-7","BATAVUS","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005152","MAMBO-7","BATAVUS","WIT","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005189","OPOEFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005263","WEEKEND","BATAVUS","CHROOMKLEURIG","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005263","WEEKEND","BATAVUS","CHROOMKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005286","IMPALA","GAZELLE","GROEN","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005290","SIRIUS","RIVEL","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005293","OLD DUTCH","BATAVUS","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005299",NA,"GAZELLE","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005321",NA,"ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013005345",NA,"MONTEGO","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005348","ESPRIT","GAZELLE","GROEN",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005366","M S GRACE","GAZELLE","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005370",NA,"GAZELLE","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005378","OPOEFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005395",NA,"RIVEL","ZWART","SERIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005409",NA,"SPARTA","WIT","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005414","PRIMEUR","GAZELLE","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005434","NEO","SPARTA","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005434","NEO","SPARTA","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005434","NEO","SPARTA","GRIJS","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005441","ARTMAP01 TOEGEV","GAZELLE","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005451",NA,"CITY","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005598",NA,"BATAVUS","PAARS","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","SPORT"
"PL0100_BVH_2013005628",NA,"ONBEKEND","GROEN",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005698",NA,"ONBEKEND","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005739","ON THE ROAD","HEMA","ROOD",NA,"DK42","VOERTUIGEN","FIETS","VOUW"
"PL0100_BVH_2013005757","VELUWE","Onbekend","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005762",NA,"ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005837","OMAFIETS","ONBEKEND","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005842",NA,"GAZELLE","ZWART",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005863","OMAFIETS","ONBEKEND","GEEL",NA,"DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013005895",NA,"BATAVUS","GOUDKLEURIG","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005895",NA,"BATAVUS","GOUDKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005895",NA,"BATAVUS","GOUDKLEURIG","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005903","ORANGE","GAZELLE","ZILVERKLEURIG","GRAVEERKODE","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005903","ORANGE","GAZELLE","ZILVERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005903","ORANGE","GAZELLE","ZILVERKLEURIG","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005913",NA,"ONBEKEND","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","ATB"
"PL0100_BVH_2013005953","ELITE","GIANT","GRIJS","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013005954","FREE","GAZELLE","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013005956",NA,"GAZELLE","GRIJS",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006063","LEXICON","SPARTA","BLAUW","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006063","LEXICON","SPARTA","BLAUW","TRANSPONDERNUMMER","DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006128","DAMESFIETS","GAZELLE","BEIGE",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006156","HERO","SPARTA","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006272","ESPRIT","GAZELLE","GROEN",NA,"DK42","VOERTUIGEN","FIETS","HEREN"
"PL0100_BVH_2013006282","GRANDMA BIKE AM","HOLLANDIA","ZWART","SERIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
"PL0100_BVH_2013006288","MOEDERFIETS","UNION","BLAUW",NA,"DK42","VOERTUIGEN","FIETS","DAMES"
"PL0100_BVH_2013006324","ROAD BIKE, POPU","SPARTA","ZWART","REGISTRATIENUMMER","DK42","VOERTUIGEN","FIETS","OPOE"
