"id","type","merk","kleur","trefwoord","soort"
"PL0100_BVH_1344774","NEXUS 8V 56","RIH SIGMA","MEERKLEURIG","HEREN","heren"
"PL0100_BVH_2385875","MENTOR","PHOENIX","GRIJS","HEREN","heren"
"PL0100_BVH_1389005",NA,"BATAVUS","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1403336","ORANG INN XPSI D53 506/505 T8","GAZELLE","ONBEKEND",NA,NA
"PL0100_BVH_1389084","ORANGE","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_3278636",NA,"GAZELLE","ZILVERKLEURIG","DAMES","dames"
"PL0100_BVH_1297227",NA,"ONBEKEND","ZWART","OPOE","opoe"
"PL0100_BVH_1401117",NA,"BATAVUS","ONBEKEND","DAMES","dames"
"PL0100_BVH_1401117",NA,"BATAVUS","ONBEKEND","DAMES","dames"
"PL0100_BVH_1109758","VOLKSKRANT","LIMIT","ZWART","OPOE","opoe"
"PL0100_BVH_2082592","CARGOBIKE LANG","BAKFIETS.NL","BLAUW","BAK","overig"
"PL0100_BVH_2815389","NL","GAZELLE","WIT","DAMES","dames"
"PL0100_BVH_3430534","CLASSIC","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1100051","BULLIT","SPARTA","BLAUW","HEREN","heren"
"PL0100_BVH_1689865","?","TOEVOEGEN","MEERKLEURIG","DAMES","dames"
"PL0100_BVH_1498433","CHAMONIX PLUS C","GAZELLE","ONBEKEND","DAMES","dames"
"PL0100_BVH_1116059","MISS GRACE","GAZELLE","GROEN","DAMES","dames"
"PL0100_BVH_2114178",NA,"MG1","BLAUW","DAMES","dames"
"PL0100_BVH_1994640","ORANGE","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_2728608","MOJO","SPARTA","ZWART","ELECTRISCH","electrisch"
"PL0100_BVH_2710281","IMPALA","GAZELLE","ONBEKEND","HEREN","heren"
"PL0100_BVH_2862030",NA,"UNION","BLAUW","DAMES","dames"
"PL0100_BVH_2979174","ECLIPSE C8 LTD","GAZELLE","WIT","DAMES","dames"
"PL0100_BVH_1416740","OPOE","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1790908","WINDSOR","SPARTA","ZWART","HEREN","heren"
"PL0100_BVH_1648789","HEAVY DUTY.NL","GAZELLE","ZWART","DAMES","dames"
"PL0100_BVH_1235439","NL MISS GRACE","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_3172400","HERENFIETS DUBB","AVALON","ZWART","HEREN","heren"
"PL0100_BVH_1740000","OMAFIETS","MEDLEY","ZWART","OPOE","opoe"
"PL0100_BVH_1098708","PRIMEUR","GAZELLE","BLAUW","DAMES","dames"
"PL0100_BVH_1430772",NA,"GAZELLE","PAARS","DAMES","dames"
"PL0100_BVH_1360466","28 INCH BLACK","HIGHLANDER","ZWART","OPOE","opoe"
