,mutation,quaycode,quayname,quayowner,quaystatus,accessible,bicyclepar,bins,shelter,geometry,x,y
0,2017-09-20T01:39:18Z,NL:Q:10001100,De Trefkoel,G0014,available,Y,false,true,true,POINT (6.541799495836955 53.23114797774577),6.541799495836955,53.23114797774577
1,2017-09-20T01:40:11Z,NL:Q:10001080,De Trefkoel,G0014,available,Y,false,true,true,POINT (6.542795926134636 53.23088677049818),6.542795926134636,53.23088677049818
2,2017-09-20T01:43:58Z,NL:Q:10001090,De Trefkoel,G0014,available,Y,false,true,true,POINT (6.542074934486461 53.23024669560641),6.542074934486461,53.23024669560641
3,2017-09-20T01:43:58Z,NL:Q:10001170,Beukenlaan,G0014,available,Y,false,true,true,POINT (6.555290117095801 53.23546566664689),6.555290117095801,53.23546566664689
4,2017-09-20T01:43:12Z,NL:Q:10001180,Beukenlaan,G0014,available,Y,false,false,false,POINT (6.555650220637647 53.23548912047738),6.555650220637647,53.235489120477375
5,2017-09-20T01:37:21Z,NL:Q:10001350,Surinamestraat,G0014,available,Y,false,true,true,POINT (6.574101661033193 53.23489470098216),6.574101661033193,53.23489470098216
6,2017-09-20T01:39:33Z,NL:Q:10001360,Surinamestraat,G0014,available,Y,false,false,false,POINT (6.573821109261822 53.23504125668715),6.573821109261822,53.235041256687154
7,2017-09-20T01:39:51Z,NL:Q:10001390,J. C. Kapteynlaan,G0014,available,Y,false,false,true,POINT (6.566642201618699 53.2293877124173),6.566642201618699,53.2293877124173
8,2017-09-20T01:38:28Z,NL:Q:10001400,J. C. Kapteynlaan,G0014,available,Y,false,true,false,POINT (6.568473680074485 53.23009759422616),6.568473680074485,53.23009759422616
9,2017-09-20T01:37:35Z,NL:Q:10001410,Riouwstraat,G0014,available,N,false,true,true,POINT (6.562364203462017 53.22737180405283),6.562364203462017,53.22737180405283
10,2017-09-20T01:36:18Z,NL:Q:10001420,Riouwstraat,G0014,available,N,false,true,true,POINT (6.562530107361801 53.22741511112083),6.562530107361801,53.227415111120834
11,2017-09-20T01:38:09Z,NL:Q:10002850,Diamantlaan,G0014,available,Y,false,true,true,POINT (6.524954379304638 53.22956551223357),6.524954379304638,53.22956551223357
12,2017-09-20T01:37:19Z,NL:Q:10002860,Diamantlaan,G0014,available,Y,false,true,true,POINT (6.525810152116454 53.22964725912656),6.525810152116454,53.22964725912656
13,2015-05-03T23:20:25Z,NL:Q:10001650,Zernike Noord,G0014,available,Y,,false,false,POINT (6.53041257763491 53.24454769607467),6.53041257763491,53.24454769607467
14,2015-05-03T23:20:25Z,NL:Q:10001670,Zernike Noord,G0014,available,Y,,true,true,POINT (6.530471059639667 53.24449322153495),6.530471059639667,53.24449322153495
15,2015-05-03T23:20:25Z,NL:Q:10001690,Zernike Noord,G0014,available,Y,,true,true,POINT (6.530544756471451 53.24444758831325),6.530544756471451,53.24444758831325
16,2017-09-21T23:03:36Z,NL:Q:10001710,Zernike Noord,G0014,available,N,false,false,false,POINT (6.530633192464111 53.24439282838712),6.530633192464111,53.24439282838712
17,2015-05-03T23:20:25Z,NL:Q:10001730,Zernike Noord,G0014,available,Y,,false,false,POINT (6.530676696856101 53.24433849640721),6.5306766968561005,53.24433849640721
18,2015-05-03T23:20:25Z,NL:Q:10001610,Zernike Noord,G0014,available,N,false,false,false,POINT (6.53056448998562 53.24462712560402),6.53056448998562,53.24462712560402
19,2015-05-03T23:20:25Z,NL:Q:10001630,Zernike Noord,G0014,available,Y,,false,false,POINT (6.530608232525236 53.24458177764931),6.530608232525236,53.24458177764931
