,DDINDIENIN,OMSCHRIJVI,TYPE,geometry,x,y
495,2008-04-07,"Koninginnenacht & -dag, Hemelvaart 2008, RESP,",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.569732861800909 53.21814844641764),6.569732861800909,53.218148446417636
496,2012-08-07,"Gronings Ontzet 28-8-2012, RESP, Poelestraat e.o.",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571199488865028 53.21821716044902),6.5711994888650285,53.218217160449015
497,2015-06-09,"Swingin Groningen, Pieter Spoelstra Producties, 12 en 13 juni 2015, GM, Poelestraat, Ellebogen, Zuiderdiep, Waagplein",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.571199488865028 53.21821716044902),6.5711994888650285,53.218217160449015
498,2016-05-27,"Stichting Swingin Groningen, 17 en 18 juni 2016, divers lokaties",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564041088367317 53.21939217184847),6.564041088367317,53.21939217184847
499,2011-02-21,"Koninginnenacht en -dag 2011, Vismarkt 52, Huize Maas",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
500,2012-02-07,"Koninginnenacht en -dag 2012, Vismarkt 52, Huize Maas",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
501,2009-12-22,"Koninginnenacht- en dag 2010, Huize Maas, Vismarkt 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
502,2015-02-18,"Koningsnacht en -dag 2015, Huize Maas BV, Vismarkt 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
503,2016-01-28,"Koningsnacht en -dag 2016, Huize Maas",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
504,2017-01-19,"Koningsnacht en -dag 2017, Huize Maas BV, Vismarkt 52",Ontheffing volgens art. 35 Drank- en Horecawet,POINT (6.564613847980127 53.2166377800343),6.564613847980127,53.216637780034304
