,horecatype,naam,objecttype,geometry,x,y
533,restaurant,Cho Fah,node,POINT (6.567966800000001 53.2177884),6.567966800000001,53.2177884
534,fast_food,Toko Semarang,node,POINT (6.5633967 53.21474430000001),6.5633967,53.21474430000001
535,cafe,Eetcafé d'Oude Brandweer,node,POINT (6.5658425 53.2146541),6.5658425,53.2146541
536,restaurant,Fatoush,node,POINT (6.575588 53.2170544),6.575588,53.2170544
537,pub,Martinus Proeflokaal,node,POINT (6.5732567 53.2161836),6.5732567,53.2161836
538,cafe,Koffieshop The Happy,node,POINT (6.5751109 53.21687779999998),6.5751109,53.216877799999985
539,fast_food,Magdalena,node,POINT (6.5604811 53.229024),6.5604811,53.229024
540,bar,Herman's Bar,node,POINT (6.569892400000001 53.23061239999999),6.5698924000000005,53.23061239999999
541,cafe,B&E,node,POINT (6.5618669 53.227239),6.5618669,53.227239
542,bar,De kleine Oosterpoort,node,POINT (6.5787289 53.2123639),6.5787289,53.2123639
543,bar,,node,POINT (6.5788594 53.21167449999999),6.5788594,53.211674499999994
544,bar,Die 2,node,POINT (6.5760033 53.2106546),6.5760033,53.2106546
545,restaurant,Rima,node,POINT (6.575459500000001 53.2113344),6.575459500000001,53.2113344
546,fast_food,Cafetaria de Paardeschuur,node,POINT (6.567287300000001 53.2301258),6.567287300000001,53.230125799999996
547,fast_food,Cafetaria De Hunze,node,POINT (6.574879300000001 53.2329231),6.574879300000001,53.2329231
548,restaurant,Indië,node,POINT (6.562766400000001 53.22775209999999),6.562766400000001,53.22775209999999
549,restaurant,Manna,node,POINT (6.5620101 53.22736239999998),6.5620101,53.22736239999998
550,restaurant,Wah Hing,node,POINT (6.5763083 53.2107059),6.5763083,53.2107059
551,cafe,Koffieshop Driemaster,node,POINT (6.5745395 53.2184175),6.5745395,53.2184175
552,restaurant,De Meeuwen,node,POINT (6.5797767 53.2101957),6.5797767,53.2101957
553,cafe,Broodjes & zo,node,POINT (6.5737987 53.21846119999999),6.5737987,53.21846119999999
554,cafe,Provence,node,POINT (6.565453 53.21347809999999),6.565453,53.21347809999999
555,cafe,Pavilijoen Sterrebos,node,POINT (6.5808884 53.20610820000001),6.5808884,53.20610820000001
556,cafe,oak,node,POINT (6.5678409 53.23659669999999),6.5678409,53.23659669999999
557,fast_food,Pizzeria Picola Roma,node,POINT (6.552200200000001 53.21743659999999),6.552200200000001,53.21743659999999
558,bar,de Valstrik,node,POINT (6.5557665 53.21631199999999),6.5557665,53.216311999999995
559,restaurant,de Slingerij,node,POINT (6.5560031 53.21608510000001),6.5560031,53.21608510000001
560,fast_food,Castello Pizzeria,node,POINT (6.55595 53.2130431),6.55595,53.2130431
561,fast_food,Rimini Pizzeria,node,POINT (6.555822700000001 53.21203100000001),6.555822700000001,53.21203100000001
562,fast_food,Shoarma-Grill No Limits,node,POINT (6.5554589 53.2163744),6.5554589,53.2163744
563,cafe,Toshka,node,POINT (6.5658624 53.21733499999999),6.5658624,53.21733499999999
564,cafe,Spaak,node,POINT (6.5630731 53.22073209999999),6.5630731,53.22073209999999
565,cafe,denderz,node,POINT (6.5578419 53.21586959999998),6.5578419,53.215869599999984
566,cafe,Koffieshop Raggamuffin,node,POINT (6.5598223 53.2287506),6.5598223,53.2287506
567,fast_food,Kiosk Regulateurshuis,node,POINT (6.567573100000001 53.2240242),6.567573100000001,53.2240242
568,restaurant,Delfi,node,POINT (6.5611425 53.22656930000001),6.5611425,53.22656930000001
569,restaurant,Eten&co,node,POINT (6.6039882 53.2175957),6.6039882,53.2175957
570,fast_food,Snack Centrum,node,POINT (6.5803995 53.22158990000001),6.5803995,53.221589900000005
571,fast_food,Tuscano,node,POINT (6.5797426 53.22175730000001),6.5797426,53.22175730000001
572,restaurant,Melrose,node,POINT (6.558837900000001 53.2288112),6.558837900000001,53.2288112
