cel,count,bushaltes,cameratoezicht_vlak,coffeeshops,horeca,onth_verg_drank_en_horeca,openbareverlichting,slaapopvang_en_methadon,verblijfsobjecten
773,0,0.2218790418,0.0000000000,0.0000000000,0.0062846147,0.0029791900,0.2830030063,0.0000000000,0.1227515230
774,3,0.2047399863,0.0000000000,0.0000000000,0.0021993118,0.0018137398,0.2118054150,0.0000000000,0.0517505990
775,2,0.1923397050,0.0000000000,0.0000000000,0.0009551410,0.0021733965,0.2222652450,0.0000000000,0.0792555678
776,2,0.1798832956,0.0000000000,0.0000000000,0.0015804267,0.0025501073,0.2629599039,0.0000000000,0.1140702918
777,0,0.1618307294,0.0000000000,0.0000000000,0.0019254174,0.0016248966,0.2665333141,0.0000000000,0.1005226443
778,2,0.1357697849,0.0000000000,0.0000000000,0.0011831225,0.0005622697,0.2101188466,0.0000000000,0.0545440586
779,0,0.1039879090,0.0000000000,0.0000000000,0.0003901958,0.0001621891,0.1247211724,0.0000000000,0.0123115384
780,0,0.0510675266,0.0000000000,0.0000000000,0.0005541104,0.0000000002,0.0029071323,0.0000000000,0.0000234736
781,0,0.0516872230,0.0000000000,0.0000000000,0.0001901159,0.0000000147,0.0094534793,0.0000000000,0.0002055551
782,0,0.0585041519,0.0000000000,0.0000000000,0.0000426740,0.0000007021,0.0290683958,0.0000000000,0.0028560868
783,0,0.0743201021,0.0000000000,0.0000000000,0.0001602446,0.0000162622,0.0664074587,0.0000000000,0.0158000900
784,0,0.0980633491,0.0000000000,0.0000000000,0.0009408321,0.0001803348,0.1101487920,0.0000000000,0.0341440001
785,0,0.1244471472,0.0000000000,0.0000000000,0.0028244963,0.0009561766,0.1368461414,0.0000000000,0.0266987462
786,0,0.1457595725,0.0000000000,0.0000000000,0.0049199965,0.0024270404,0.1357940698,0.0000000000,0.0078078711
787,0,0.1552544188,0.0000000000,0.0000000000,0.0058808200,0.0029584290,0.1118380546,0.0000000000,0.0045484863
788,0,0.1504501320,0.0000000000,0.0000000000,0.0047739114,0.0017426715,0.0737168149,0.0000000000,0.0036944456
789,0,0.1343649123,0.0000000000,0.0000000000,0.0022989210,0.0005020490,0.0378400472,0.0000000000,0.0010786690
790,0,0.1139997087,0.0000000000,0.0000000000,0.0006126972,0.0000727925,0.0204440503,0.0000000000,0.0006688673
791,1,0.0973035579,0.0000000000,0.0000000000,0.0000905294,0.0000080620,0.0212909905,0.0000000000,0.0010222561
792,0,0.0905832714,0.0000000000,0.0000000000,0.0000087404,0.0000078302,0.0277320528,0.0000000000,0.0006223974
793,0,0.0973003694,0.0000000000,0.0000000000,0.0000036342,0.0000236748,0.0341645604,0.0000000000,0.0018643852
794,0,0.1178262814,0.0000000000,0.0000000000,0.0000082928,0.0001416689,0.0556013126,0.0000000000,0.0167858290
795,0,0.1494761488,0.0000000000,0.0000000000,0.0000373323,0.0006118723,0.1204167140,0.0000000000,0.0482020959
796,0,0.1868221499,0.0000000000,0.0000000000,0.0004512042,0.0014000513,0.2477887231,0.0000000000,0.0799759165
797,0,0.2226841703,0.0000000000,0.0000000000,0.0032345976,0.0020687027,0.4244140097,0.0000000000,0.1378211922
798,2,0.2498237358,0.0000000000,0.0000000000,0.0109175640,0.0031698527,0.6020910912,0.0000000000,0.2380651448
799,82,0.2628351171,0.0000000000,0.0000000000,0.0177339794,0.0051060113,0.7260815672,0.0000000000,0.3469774882
800,14,0.2596192482,0.0000000000,0.0000000000,0.0175157462,0.0068422398,0.7656673526,0.0000000000,0.3662529505
801,8,0.2420033281,0.0000000000,0.0000000000,0.0204270926,0.0077007122,0.7144846007,0.0000000000,0.3541978558
802,35,0.2151907836,0.0000000000,0.0000000000,0.0243363350,0.0066737796,0.5763465563,0.0000000000,0.3789811084
803,8,0.1859035675,0.0000000000,0.0000000000,0.0161645910,0.0036550073,0.3844988821,0.0000000000,0.2667610929
804,0,0.1596712275,0.0000000000,0.0000000000,0.0051477191,0.0012783648,0.2153173768,0.0000000000,0.0841193411
805,1,0.1385757592,0.0000000000,0.0000000000,0.0008308339,0.0007515449,0.1286615499,0.0000000000,0.0239041246
806,0,0.1209638906,0.0000000000,0.0000000000,0.0002168541,0.0008849523,0.1114473162,0.0000000000,0.0269246649
807,0,0.1034699340,0.0000000000,0.0000000000,0.0001997166,0.0006355268,0.1092076489,0.0000000000,0.0222994851
808,0,0.0838786285,0.0000000000,0.0000000000,0.0001159972,0.0002237831,0.0884161426,0.0000000000,0.0107839065
809,0,0.0626792868,0.0000000000,0.0000000000,0.0000347853,0.0000405271,0.0551514117,0.0000000000,0.0022565416
810,0,0.0306224589,0.0000000000,0.0000000000,0.0000699915,0.0000000000,0.0012990613,0.0000000000,0.0000009720
811,0,0.0307418813,0.0000000000,0.0000000000,0.0000240907,0.0000000029,0.0044747060,0.0000000000,0.0000142645
812,0,0.0350338658,0.0000000000,0.0000000000,0.0000241238,0.0000001668,0.0124873972,0.0000000000,0.0002655011
813,0,0.0454797405,0.0000000000,0.0000000000,0.0002479739,0.0000045473,0.0256885867,0.0000000000,0.0019969523
814,0,0.0616215653,0.0000000000,0.0000000000,0.0013873478,0.0000591377,0.0409281180,0.0000000000,0.0060565964
815,0,0.0801837244,0.0000000000,0.0000000000,0.0036342166,0.0003668906,0.0523163644,0.0000000000,0.0058792163
816,0,0.0960247840,0.0000000000,0.0000000000,0.0045709361,0.0010859234,0.0551527945,0.0000000000,0.0018992341
817,0,0.1042325064,0.0000000000,0.0000000000,0.0029958475,0.0015336324,0.0488338114,0.0000000000,0.0011907089
818,0,0.1023921824,0.0000000000,0.0000000000,0.0012284057,0.0010338191,0.0353576357,0.0000000000,0.0009926918
819,0,0.0917490081,0.0000000000,0.0000000000,0.0003717178,0.0003328575,0.0202569947,0.0000000000,0.0003389854
820,0,0.0766542302,0.0000000000,0.0000000000,0.0000778043,0.0000512613,0.0111770025,0.0000000000,0.0003425676
821,0,0.0628469350,0.0000000000,0.0000000000,0.0000098294,0.0000038164,0.0104003336,0.0000000000,0.0005725704
822,0,0.0556926164,0.0000000000,0.0000000000,0.0000007310,0.0000003626,0.0127581187,0.0000000000,0.0003230966
823,0,0.0590560501,0.0000000000,0.0000000000,0.0000001337,0.0000032356,0.0142368456,0.0000000000,0.0007894031
824,0,0.0747041967,0.0000000000,0.0000000000,0.0000007999,0.0000344030,0.0210550500,0.0000000000,0.0068548561
825,0,0.1018767528,0.0000000000,0.0000000000,0.0000189460,0.0001936229,0.0492760688,0.0000000000,0.0181052670
826,0,0.1370231633,0.0000000000,0.0000000000,0.0002836582,0.0006470272,0.1216095851,0.0000000000,0.0252880821
827,0,0.1741011998,0.0000000000,0.0000000000,0.0019971425,0.0017867848,0.2568908791,0.0000000000,0.0631364359
828,2,0.2057631752,0.0000000000,0.0000000000,0.0065865015,0.0042561498,0.4379916339,0.0000000000,0.1873340314
829,10,0.2252720786,0.0000000000,0.0000000000,0.0109354448,0.0066372889,0.6007632647,0.0000000000,0.3056143698
830,6,0.2285097168,0.0000000000,0.0000000000,0.0139066795,0.0070126627,0.6888389556,0.0000000000,0.3039548107
831,10,0.2152955321,0.0000000000,0.0000000000,0.0232739452,0.0076571109,0.6891948070,0.0000000000,0.3236440650
832,21,0.1894400347,0.0000000000,0.0000000000,0.0299102214,0.0082380739,0.5961692228,0.0000000000,0.3652626405
833,3,0.1573607598,0.0000000000,0.0000000000,0.0194969855,0.0054372321,0.4188637523,0.0000000000,0.2523790178
834,0,0.1256543908,0.0000000000,0.0000000000,0.0060058069,0.0018344927,0.2257378596,0.0000000000,0.0755574240
